title,price,location,area,property_type,bedrooms,bathrooms
"Villa with pool on waslet Dahshur, 8-Years Payment",2710000,"NMQ, 26th of July Corridor, 6 October City, Giza",280,Villa,3,3
Apartment At Special Price in Stau R7 Over 10Y,4460000,"Stau, New Capital Compounds, New Capital City, Cairo",175,Apartment,3,3
"Finished 100m² Chalet Direct Sea Front, Best Price",1172700,"Amwaj, Sidi Abdel Rahman, North Coast",50,Chalet,2,2
Owner Direct Apartment Facing Kattameya Heights,8000000,"Al Shouyfat, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",150,Apartment,3,2
"chalet155m finished+A,C with DP4.6million seaview",4600000,"Ogami, Ras Al Hekma, North Coast",155,Chalet,3,3
176 sqm Apartment in Karma Kay Near Zed Towers,2000000,"AlKarma Kay, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",176,Apartment,3,3
Resale Apartment For Sale At Zed East Downpayment,11311221,"Zed East, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",165,Apartment,3,3
Own & RTM | 195m Apartment in Rock Eden over 10yrs,1778000,"Rock Eden, Hadayek October, 6 October City, Giza",195,Apartment,3,3
Best Full Sea View Townhouse 182m With Best Price,13820000,"Seashore, Ras Al Hekma, North Coast",182,Townhouse,3,3
In Paros Heights Lowest Price Penthouse Sea View,6000000,"Mountain View, Ras Al Hekma, North Coast",110,Chalet,2,2
Resale TH corner 223m ready to move INST till 2029,16000000,"Village West, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",223,Townhouse,4,4
Luxurious Finishing Apt Close the Clube -Eastown,13000000,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",127,Apartment,2,2
Resale Chalet RTM Under market in June Sodic,12500000,"June, Ras Al Hekma, North Coast",138,Chalet,3,2
Resale Chalet With Garden Prime View Gaia Sodic,7816000,"Gaia, Ras Al Hekma, North Coast",97,Chalet,2,1
Resale 154m + garden 60m fully finished DEL 2026,11580000,"Village West, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",154,Apartment,3,3
villa Corner townhouse for sale at a bargain price,14625000,"The MarQ, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",245,Townhouse,3,3
1BR Serviced Apartment in Twilight New Giza,14566549,"New Giza, Cairo Alexandria Desert Road, 6 October City, Giza",101,Apartment,1,2
Prime Duplex Close to EDNC Finished with Acs-Sodic,26000000,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",248,Duplex,3,4
PH 126m Terrace 16m Nile view - New Zamalek - 5%DP,15570000,"Jirian, New Zayed City, Sheikh Zayed City, Giza",126,Penthouse,2,2
The Nearest Twin From The Grand Egyptian Museum,15380000,"Sun Capital, Fayoum Desert road, 6 October City, Giza",240,Twin House,3,3
3BR Apartment 158m | Landmark Compound | Nasr City,3500000,"Landmark, Nasr City Compounds, Nasr City, Cairo",158,Apartment,3,2
Own an unit 120m fully finished on Nile - 5% 8 yrs,12700000,"Jirian, New Zayed City, Sheikh Zayed City, Giza",120,Apartment,2,2
Ready Soon Twinhouse 9 Years Installments-Finished,12000000,"O West, 6 October Compounds, 6 October City, Giza",230,Twin House,3,3
Ready-to-Move 2BR Apartment in Very Prime Location,3204300,"O West, 6 October Compounds, 6 October City, Giza",116,Apartment,2,2
Apartment Finished 6th Settlement Over 10 Years,6360000,"Najm, The 6th Settlement, New Cairo City, Cairo",170,Apartment,3,3
Apartment Finished in SAADA New Cairo 5%Dp,4800000,"Saada Compound, New Cairo City, Cairo",83,Apartment,1,1
"For less than company price,best view in combound",3675000,"Village West, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",159,Apartment,3,3
Resale unit 259m +garden 220m super lux finished,13750000,"Six West, Beverly Hills, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",259,Apartment,3,3
Villa 450m with New Emaar Launch in Marassi Marina,100000000,"Marassi, Sidi Abdel Rahman, North Coast",450,Villa,5,5
Townhouse in Mountain View \ Unit code: SV01306,16000000,"Mountain View, Ras Al Hekma, North Coast",180,Townhouse,4,3
Chalet for sale in Makadi Heights Prime Location .,12000000,"Makadi Heights, Makadi Orascom Resort, Makadi, Hurghada, Red Sea",150,Chalet,3,3
Apartment with Hotel-Style Finishing in Hyde Park,13650000,"Garden Residence, Hyde Park, New Cairo City, Cairo",179,Apartment,3,3
ready to move+8yrs installment 158m Apt. by Sodic,1000000,"Six West, Beverly Hills, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",40,Apartment,2,2
Resale Chalet 3bed Near Delivery Direct Lagoon,8500000,"Azha North, Ras Al Hekma, North Coast",150,Chalet,3,3
"First row lagoon chalet,ready to move,lowest price",14000000,"Silver Sands, Qesm Marsa Matrouh, North Coast",120,Chalet,2,3
Chalet in Palm Hills Alamein \ U.C : SA01293,11000000,"Palm Hills New Alamein, New Alamein City, Al Alamein, North Coast",107,Chalet,2,2
Own a 170m Duplex Near Hyper One 10yrs installment,2000000,"West Leaves, 1st District, 6 October City, Giza",170,Duplex,3,3
Finished Chalet in Zoya next to Telal and Hacienda,10000000,"Zoya, Sidi Abdel Rahman, North Coast",145,Chalet,3,3
Townhouse 250m | Roof | New Emaar Launch | Marassi,45000000,"Marassi, Sidi Abdel Rahman, North Coast",250,Townhouse,3,3
"RTM Apartment 158m+Garden 96m-1,7M semi annual",1701180,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",55,Apartment,3,3
One Floor Twin Ready To Move Limited-In June Sodic,20700000,"June, Ras Al Hekma, North Coast",206,Twin House,4,5
Full Sea View -Limited Chalet-Under Market in June,9900000,"June, Ras Al Hekma, North Coast",140,Chalet,3,2
Fully Finished Chalet  In Installment till 2034,13740000,"Hacienda Waters, Qesm Ad Dabaah, North Coast",123,Chalet,3,4
Ground + Garden 90 SQM Furnished Pool View,9450000,"Amwaj, Sidi Abdel Rahman, North Coast",108,Chalet,2,1
Direct On Pool-Chalet Fully Finished Under Market,6800000,"Mountain View, Ras Al Hekma, North Coast",92,Chalet,2,2
Lowest Chalet -Delivery 2months-Pool View-Finished,6800000,"Mountain View, Ras Al Hekma, North Coast",92,Chalet,2,2
Finished  Villa  Ready  To   Move  In  New Cairo .,4000000,"La Vista City, New Capital Compounds, New Capital City, Cairo",265,Villa,5,5
Chalet Sea View For Sale At Silver Sands By Ora,25000000,"Silver Sands, Qesm Marsa Matrouh, North Coast",175,Chalet,3,2
PREMIUM SEA VIEW VILLA WITH LONG INSTALMENT MRAKZ,33000000,"Ramla, Ras Al Hekma, North Coast",270,Twin House,4,4
Finished Lowest price Apartment RTM in Karmell,7900000,"Karmell, New Zayed City, Sheikh Zayed City, Giza",123,Apartment,2,2
Insatllments Garden Duplex Finished -RTM- Resale,7500000,"Karmell, New Zayed City, Sheikh Zayed City, Giza",196,Duplex,3,3
RTM apartment in Sheikh Zayed with aprivate garden,2261205,"Kayan, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",130,Apartment,3,2
"170 sq m apartment for sale, immediate occupancy i",4851986,"The Loft, New Capital Compounds, New Capital City, Cairo",170,Apartment,3,3
LA GOUNA Own Your Holiday Home Just 20% Deposit,3966750,"Al Ahyaa District, Hurghada, Red Sea",90,Apartment,2,1
Apartment Corner with Garden Next to Madinaty|5%dp,6420000,"Monark, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",195,Apartment,3,3
Chalet Full Sea View Ready to - under market price,5600000,"Soma Breeze, Soma Bay, Safaga, Hurghada, Red Sea",82,Chalet,1,1
Apartment From LaVista in 6th Settlement Only5%Dp,9419000,"El Patio Riva, The 6th Settlement, New Cairo City, Cairo",116,Apartment,2,2
"Duplex 4BR in Queen Land, New Capital over 10 Y",4470000,"La Verde Casette, New Capital Compounds, New Capital City, Cairo",250,Duplex,4,4
2BR Apartment | Prime Hadaba Location,2450000,"El Kawther District, Hurghada, Red Sea",70,Apartment,2,1
Apartment RTM At Lowest Price in The City Over12Y,4400000,"The City, New Capital Compounds, New Capital City, Cairo",166,Apartment,3,3
Loft Direct On Lagoon-RTM Facing North-June Sodic,13000000,"June, Ras Al Hekma, North Coast",143,Duplex,3,3
Under Market I Villa Direct On Lagoon -Resale-RTM,6200000,"Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",165,iVilla,2,2
"Fully finished chalet, sea view for sale, Southmed",12905278,"South Med, Qesm Ad Dabaah, North Coast",156,Chalet,3,2
Twin house direct to pool lowest Price in market,21850000,"La Vista City, New Capital Compounds, New Capital City, Cairo",295,Twin House,3,4
resale aeon town 14th floor under market price,8000000,"Aeon, 6 October Compounds, 6 October City, Giza",100,Apartment,1,2
