ID,Type,Title,Price (EGP),Down Payment,Location Cluster,Full Address,Bedrooms,Bathrooms,Area (sqm),Agency Name,URL
88957535,Apartment,Installments Apt Finished in Villette -Open View,15000000,,Villette,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,182,Allocate Real Estate,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-villette-88957535.html
88967548,Apartment,150 SQM Apartment with Parking in Zohour Life,3300000,,Al Andalus El Gedida,"Al Andalus El Gedida, Al Andalus District, New Cairo City, Cairo",3,2,150,Lutazn For Real Estate,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-al-andalus-district-al-andalus-el-gedida-88967548.html
83681700,Chalet,Resale Chalet With Lowest D.P Premium Location,3800000,,Hacienda West,"Hacienda West, Ras Al Hekma, North Coast",1,2,65,Square real estate,https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-north-coast-ras-al-hekma-hacienda-west-83681700.html
88967143,Chalet,Under market Chalet RTM-With Acs On lagoon in June,10500000,,June,"June, Ras Al Hekma, North Coast",3,2,144,Allocate Real Estate,https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-north-coast-ras-al-hekma-june-88967143.html
88967107,Villa,Prime Location LV Villa RTM direct on Ravine Sodic,32100000,,Sodic East,"Sodic East, 6th District, New Heliopolis, Cairo",5,6,395,Allocate Real Estate,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-heliopolis-6th-district-sodic-east-88967107.html
88967075,Apartment,apartment Ready move from owner install in SaraiS2,3201000,,S2,"S2, Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",2,2,105,Sonic For Real-Estate,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-mostakbal-city---future-city-mostakbal-city-compounds-sarai-s2-88967075.html
88954160,Chalet,lowest price chalet ff in elgouna direct on lagoon,18700000,1850000.0,Swan Lake Gouna,"Swan Lake Gouna, El Gouna, Hurghada, Red Sea",1,1,85,Crafters Real Estate,https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-red-sea-hurghada-el-gouna-swan-lake-gouna-88954160.html
88966865,Apartment,Apartment Finished in SAADA New Cairo Over 8 Years,11500000,,Saada Compound,"Saada Compound, New Cairo City, Cairo",3,3,137,Roots Real Estate,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-saada-compound-88966865.html
88966748,Apartment,Luxury Apartments with Easy Payment Plans,2500000,1000000.0,Arabia Area,"Arabia Area, Hurghada, Red Sea",1,1,50,El-Bedihy & Co,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-red-sea-hurghada-arabia-area-88966748.html
88966543,Apartment,BADYA PRIME LOCATION APARTMENT 12YEARS INSTALLMENT,8500000,,Badya Palm Hills,"Badya Palm Hills, 6 October Compounds, 6 October City, Giza",2,2,131,Egypt Best Properties,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-6-october-city-6-october-compounds-badya-palm-hills-88966543.html
88409584,Villa,"Villa in Hyde Park,new cairo with lowest price",5000000,,Hyde Park Central,"Hyde Park Central, The 6th Settlement, New Cairo City, Cairo",4,4,212,Oaks Real Estate,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-the-6th-settlement-new-cairo-city-hyde-park-central-88409584.html
88966527,Apartment,Apartment for less than the price in Sarai,4250000,,S2,"S2, Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",2,2,122,Sonic For Real-Estate,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-mostakbal-city---future-city-mostakbal-city-compounds-sarai-s2-88966527.html
87508625,Apartment,Flexi Finishing-Apt In prime Location-Under market,19000000,,Villette,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,188,Allocate Real Estate,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-villette-87508625.html
